customer_id,customer_name,email,segment,city,state,country,region,join_date
CUST0001,Sandra Carter,sandra.carter@example.com,Consumer,Boston,NY,USA,North,2023-11-06 01:17:02.719285
CUST0002,Stephanie Watson,stephanie.watson@example.com,Home Office,Baltimore,MD,USA,East,2023-05-20 01:17:02.719324
CUST0003,Matthew Bell,matthew.bell@example.com,Consumer,Baltimore,MD,USA,East,2023-06-09 01:17:02.719346
CUST0004,David Ward,david.ward@example.com,Home Office,Boston,NY,USA,North,2024-08-11 01:17:02.719362
CUST0005,Joseph Thompson,joseph.thompson@example.com,Consumer,Philadelphia,MD,USA,East,2024-06-04 01:17:02.719380
CUST0006,Nancy Price,nancy.price@example.com,Corporate,Houston,TX,USA,South,2023-07-11 01:17:02.719399
CUST0007,Emily Clark,emily.clark@example.com,Consumer,Houston,TX,USA,South,2025-05-06 01:17:02.719417
CUST0008,Kimberly Jones,kimberly.jones@example.com,Home Office,Philadelphia,MD,USA,East,2024-08-30 01:17:02.719433
CUST0009,Timothy Ramirez,timothy.ramirez@example.com,Home Office,Boston,NY,USA,North,2025-02-25 01:17:02.719449
CUST0010,Nicholas Rodriguez,nicholas.rodriguez@example.com,Consumer,Washington DC,MD,USA,East,2025-02-14 01:17:02.719466
CUST0011,Cynthia Smith,cynthia.smith@example.com,Corporate,Seattle,CA,USA,West,2024-01-14 01:17:02.719482
CUST0012,Joseph Murphy,joseph.murphy@example.com,Consumer,Chicago,NY,USA,North,2024-03-11 01:17:02.719500
CUST0013,Michelle Ramirez,michelle.ramirez@example.com,Home Office,Chicago,NY,USA,North,2024-12-20 01:17:02.719517
CUST0014,Kathleen Peterson,kathleen.peterson@example.com,Consumer,San Francisco,CA,USA,West,2023-06-23 01:17:02.719545
CUST0015,Sandra Garcia,sandra.garcia@example.com,Consumer,Baltimore,MD,USA,East,2024-01-07 01:17:02.719563
CUST0016,Emily Carter,emily.carter@example.com,Home Office,Boston,NY,USA,North,2023-06-10 01:17:02.719580
CUST0017,Nancy Lopez,nancy.lopez@example.com,Home Office,Chicago,NY,USA,North,2024-05-05 01:17:02.719598
CUST0018,Brenda Hernandez,brenda.hernandez@example.com,Consumer,Boston,NY,USA,North,2023-05-18 01:17:02.719615
CUST0019,Jacob Wilson,jacob.wilson@example.com,Consumer,San Francisco,CA,USA,West,2025-07-12 01:17:02.719633
CUST0020,Matthew Price,matthew.price@example.com,Home Office,Washington DC,MD,USA,East,2024-01-20 01:17:02.719650
CUST0021,Barbara Scott,barbara.scott@example.com,Corporate,Chicago,NY,USA,North,2024-05-05 01:17:02.719667
CUST0022,Sharon Murphy,sharon.murphy@example.com,Consumer,Miami,TX,USA,South,2023-12-26 01:17:02.719690
CUST0023,Kimberly Moore,kimberly.moore@example.com,Home Office,Baltimore,MD,USA,East,2025-03-20 01:17:02.719711
CUST0024,Stephanie Collins,stephanie.collins@example.com,Home Office,Chicago,NY,USA,North,2024-07-12 01:17:02.719729
CUST0025,Christopher Anderson,christopher.anderson@example.com,Home Office,New York,NY,USA,North,2024-10-03 01:17:02.719748
CUST0026,Angela Sanchez,angela.sanchez@example.com,Corporate,Miami,TX,USA,South,2025-02-01 01:17:02.719765
CUST0027,Jennifer King,jennifer.king@example.com,Home Office,Houston,TX,USA,South,2023-09-25 01:17:02.719782
CUST0028,Deborah Carter,deborah.carter@example.com,Consumer,Atlanta,TX,USA,South,2024-01-15 01:17:02.719800
CUST0029,Charles Turner,charles.turner@example.com,Corporate,Seattle,CA,USA,West,2025-03-27 01:17:02.719817
CUST0030,Ryan Howard,ryan.howard@example.com,Home Office,New York,NY,USA,North,2025-04-08 01:17:02.719834
CUST0031,Mark Stewart,mark.stewart@example.com,Corporate,Philadelphia,MD,USA,East,2024-03-06 01:17:02.719851
CUST0032,Donna Davis,donna.davis@example.com,Home Office,New York,NY,USA,North,2025-01-19 01:17:02.719867
CUST0033,Kevin Ramirez,kevin.ramirez@example.com,Home Office,Houston,TX,USA,South,2025-06-23 01:17:02.719884
CUST0034,Deborah Johnson,deborah.johnson@example.com,Home Office,Chicago,NY,USA,North,2024-12-21 01:17:02.719902
