sale_id,sale_date,product_id,product_name,category,customer_id,customer_name,salesperson_id,quantity,unit_price,discount,total_amount,payment_method,shipping_mode,region,sale_date_only,sale_year,sale_month,sale_day
SALE100000,2025-08-30 05:17:03.030096,P004,"Monitor 27""",Electronics,CUST0022,Sharon Murphy,SP002,3,363.91,0.0,1091.73,PayPal,Express,South,2025-08-30,2025,8,30
SALE100001,2025-12-07 11:17:03.030096,P003,Gaming Chair,Furniture,CUST0081,Brandon Nguyen,SP002,3,298.97,0.0,896.91,Bank Transfer,Express,South,2025-12-07,2025,12,7
SALE100002,2025-07-19 17:17:03.030096,P003,Gaming Chair,Furniture,CUST0088,Sandra Roberts,SP002,2,281.24,0.0,562.48,Bank Transfer,Standard,South,2025-07-19,2025,7,19
SALE100003,2025-10-30 19:17:03.030096,P004,"Monitor 27""",Electronics,CUST0065,Carol Young,SP002,3,445.37,307.33,1028.78,Cash,Express,South,2025-10-30,2025,10,30
SALE100004,2025-11-30 18:17:03.030096,P004,"Monitor 27""",Electronics,CUST0065,Carol Young,SP002,1,390.34,0.0,390.34,Bank Transfer,Express,South,2025-11-30,2025,11,30
SALE100005,2025-04-08 23:17:03.030096,P001,Laptop Pro,Electronics,CUST0065,Carol Young,SP002,4,1161.06,0.0,4644.24,Bank Transfer,Express,South,2025-04-08,2025,4,8
SALE100006,2025-03-21 00:17:03.030096,P002,Wireless Mouse,Accessories,CUST0001,Sandra Carter,SP001,1,48.11,0.0,48.11,Credit Card,Express,North,2025-03-21,2025,3,21
SALE100007,2026-02-02 21:17:03.030096,P002,Wireless Mouse,Accessories,CUST0039,Brandon Sanchez,SP003,3,50.56,21.24,130.44,PayPal,Standard,East,2026-02-02,2026,2,2
SALE100008,2025-07-02 19:17:03.030096,P002,Wireless Mouse,Accessories,CUST0080,Edward Williams,SP002,3,43.07,18.92,110.29,Credit Card,Express,South,2025-07-02,2025,7,2
SALE100009,2025-04-12 00:17:03.030096,P008,USB-C Hub,Accessories,CUST0073,Carol Stewart,SP002,5,39.29,30.46,165.99,Bank Transfer,Express,South,2025-04-12,2025,4,12
SALE100010,2025-12-19 13:17:03.030096,P007,Desk Lamp,Furniture,CUST0022,Sharon Murphy,SP002,2,41.12,0.0,82.24,Credit Card,Express,South,2025-12-19,2025,12,19
SALE100011,2026-01-03 05:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0096,Helen Kelly,SP003,5,138.52,0.0,692.6,Credit Card,Standard,East,2026-01-03,2026,1,3
SALE100012,2025-12-04 11:17:03.030096,P007,Desk Lamp,Furniture,CUST0012,Joseph Murphy,SP001,2,39.1,0.0,78.2,Cash,Standard,North,2025-12-04,2025,12,4
SALE100013,2025-10-29 23:17:03.030096,P008,USB-C Hub,Accessories,CUST0010,Nicholas Rodriguez,SP003,1,30.13,0.0,30.13,Credit Card,Standard,East,2025-10-29,2025,10,29
SALE100014,2025-07-20 02:17:03.030096,P008,USB-C Hub,Accessories,CUST0085,Rebecca Johnson,SP003,3,36.14,10.37,98.05,Cash,Standard,East,2025-07-20,2025,7,20
SALE100015,2025-04-15 16:17:03.030096,P007,Desk Lamp,Furniture,CUST0081,Brandon Nguyen,SP002,2,35.76,13.55,57.97,Bank Transfer,Standard,South,2025-04-15,2025,4,15
SALE100016,2025-07-10 20:17:03.030096,P005,Mechanical Keyboard,Accessories,CUST0059,Jason Lee,SP004,4,137.02,121.55,426.53,Credit Card,Standard,West,2025-07-10,2025,7,10
SALE100017,2025-08-07 07:17:03.030096,P004,"Monitor 27""",Electronics,CUST0042,Stephen Allen,SP001,2,382.8,0.0,765.6,Bank Transfer,Standard,North,2025-08-07,2025,8,7
SALE100018,2025-03-14 23:17:03.030096,P004,"Monitor 27""",Electronics,CUST0019,Jacob Wilson,SP004,2,409.58,0.0,819.16,Bank Transfer,Express,West,2025-03-14,2025,3,14
SALE100019,2025-08-03 23:17:03.030096,P006,Webcam HD,Electronics,CUST0020,Matthew Price,SP003,1,72.56,4.84,67.72,Credit Card,Standard,East,2025-08-03,2025,8,3
